,citing_author,paper_citing_id,cited_author,paper_cited_id,time
937,11,471,8,208,23
938,11,471,9,9,23
939,12,472,12,12,23
940,12,472,10,30,23
941,12,472,1,381,23
942,13,473,15,95,23
943,13,473,19,139,23
944,14,474,2,62,23
945,14,474,13,13,23
946,15,475,19,19,23
947,16,476,0,400,23
948,16,476,5,125,23
949,17,477,13,293,23
950,17,477,9,329,23
951,18,478,14,374,23
952,18,478,13,13,23
953,19,479,18,318,23
954,19,479,16,36,23
955,0,480,19,199,24
956,0,480,4,104,24
957,1,481,16,16,24
958,1,481,5,25,24
959,2,482,9,9,24
960,2,482,16,16,24
961,2,482,13,13,24
962,3,483,15,15,24
963,3,483,9,289,24
964,4,484,15,15,24
965,4,484,15,255,24
966,4,484,1,141,24
967,5,485,19,19,24
968,5,485,8,8,24
969,6,486,0,160,24
970,7,487,8,8,24
971,7,487,7,7,24
972,7,487,11,371,24
973,8,488,11,51,24
974,9,489,18,238,24
975,10,490,9,9,24
976,10,490,3,83,24
977,11,491,9,9,24
978,11,491,0,20,24
979,12,492,13,133,24
980,13,493,0,0,24
981,13,493,3,203,24
982,14,494,3,3,24
983,14,494,0,20,24
984,14,494,7,127,24
985,15,495,19,199,24
986,16,496,17,17,24
987,16,496,12,392,24
988,17,497,11,71,24
989,17,497,11,31,24
990,18,498,9,9,24
991,18,498,18,18,24
992,18,498,15,15,24
993,19,499,2,462,24
994,19,499,10,50,24
995,0,500,2,182,25
996,0,500,19,19,25
997,1,501,0,20,25
998,1,501,13,13,25
999,1,501,11,231,25
1000,2,502,9,449,25
1001,3,503,16,16,25
1002,4,504,9,89,25
1003,4,504,18,58,25
1004,4,504,0,60,25
1005,5,505,9,189,25
1006,6,506,18,238,25
1007,7,507,12,12,25
1008,7,507,8,8,25
1009,8,508,9,9,25
1010,9,509,1,21,25
1011,9,509,2,2,25
1012,10,510,12,152,25
1013,10,510,7,27,25
1014,10,510,3,3,25
1015,11,511,14,14,25
1016,12,512,12,72,25
1017,13,513,12,12,25
1018,14,514,8,8,25
1019,14,514,2,142,25
1020,15,515,16,16,25
1021,16,516,18,318,25
1022,16,516,5,25,25
1023,16,516,13,133,25
1024,17,517,4,84,25
1025,17,517,7,227,25
1026,18,518,7,227,25
1027,18,518,17,97,25
